threshold,CXR_VAL_macro_f1,CXR_VAL_recall_pneumonia,CHEXPERT_macro_f1,CHEXPERT_recall_pneumonia
0.5599999999999999,0.9704698319448357,0.9663817663817664,0.7212607018692216,0.5894
0.565,0.9704698319448357,0.9663817663817664,0.7211981904814535,0.5886
0.57,0.9701920736160475,0.9652421652421652,0.7208056866721935,0.5872
0.575,0.9701920736160475,0.9652421652421652,0.7200982398055474,0.5854
0.58,0.9699154677989866,0.9646723646723647,0.7200633038618742,0.5838
0.585,0.9699154677989866,0.9646723646723647,0.7193975796877177,0.5814
0.59,0.9699154677989866,0.9646723646723647,0.7186017141385779,0.5786
0.595,0.9696388462092074,0.9641025641025641,0.717631709881283,0.576
0.6,0.9696375988596373,0.9635327635327635,0.7168806747371768,0.5738
0.605,0.9696375988596373,0.9635327635327635,0.7160163087075264,0.5714
0.61,0.9690842662519572,0.9623931623931624,0.7141110494092213,0.5668
0.615,0.9690842662519572,0.9623931623931624,0.713687564245389,0.5642
0.62,0.9688075755248224,0.9618233618233618,0.7117294968938777,0.5592
0.625,0.9688062464204878,0.9612535612535612,0.7096035364594404,0.5526
0.63,0.9688062464204878,0.9612535612535612,0.7067759021700591,0.5448
0.635,0.9679745968896897,0.958974358974359,0.7034026082394591,0.5348
0.6399999999999999,0.9676963403021099,0.9578347578347578,0.6978734491342674,0.5194
0.6449999999999999,0.9665857166398927,0.9544159544159544,0.6860880103814732,0.4908
0.6499999999999999,0.9643658971192166,0.9487179487179487,0.6630065014412166,0.4374
0.6549999999999999,0.9515502655883339,0.9150997150997151,0.5610345045459374,0.2646
0.6599999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.6649999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.6699999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.6749999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.6799999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.6849999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.69,0.34048354844573714,0.0,0.3333333333333333,0.0
0.695,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7,0.34048354844573714,0.0,0.3333333333333333,0.0
0.705,0.34048354844573714,0.0,0.3333333333333333,0.0
0.71,0.34048354844573714,0.0,0.3333333333333333,0.0
0.715,0.34048354844573714,0.0,0.3333333333333333,0.0
0.72,0.34048354844573714,0.0,0.3333333333333333,0.0
0.725,0.34048354844573714,0.0,0.3333333333333333,0.0
0.73,0.34048354844573714,0.0,0.3333333333333333,0.0
0.735,0.34048354844573714,0.0,0.3333333333333333,0.0
0.74,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7449999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7499999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7549999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7599999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7649999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7699999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7749999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7799999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7849999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7899999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7949999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.7999999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8049999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.8099999999999999,0.34048354844573714,0.0,0.3333333333333333,0.0
0.815,0.34048354844573714,0.0,0.3333333333333333,0.0
0.82,0.34048354844573714,0.0,0.3333333333333333,0.0
0.825,0.34048354844573714,0.0,0.3333333333333333,0.0
0.83,0.34048354844573714,0.0,0.3333333333333333,0.0
